Time,Fila Max,Ocupacao,E[N],E[W],Lambda,Erro de Little
14300.000000,31,0.799301,3.852444,-1.500321,1.988462,6.835774
14400.000000,31,0.799180,3.841691,-1.499575,1.988333,6.823346
14500.000000,31,0.800161,3.862724,-1.551543,1.988759,6.948369
14600.000000,31,0.799865,3.856729,-1.489111,1.988493,6.817815
14700.000000,31,0.800069,3.853341,-1.464050,1.988639,6.764807
14800.000000,31,0.799891,3.856391,-1.347247,1.988108,6.534864
14900.000000,31,0.799156,3.847424,-1.160122,1.987047,6.152642
15000.000000,31,0.800163,3.874931,-1.220289,1.988000,6.300865
15100.000000,31,0.800378,3.875733,-1.420134,1.988742,6.700012
15200.000000,31,0.800875,3.896071,-1.112961,1.989342,6.110131
15300.000000,31,0.801286,3.912234,-1.032175,1.988954,5.965182
15400.000000,31,0.801721,3.911372,-0.916701,1.988766,5.734475
15500.000000,31,0.801714,3.912096,-1.704430,1.988581,7.301494
15600.000000,31,0.802005,3.919615,-1.586341,1.989359,7.075416
15700.000000,31,0.801836,3.916438,-1.531574,1.988981,6.962710
15800.000000,31,0.801042,3.902343,-1.765520,1.987152,7.410700
15900.000000,31,0.801156,3.897707,-1.695819,1.988176,7.269294
16000.000000,31,0.801036,3.888169,-1.439196,1.988625,6.750191
16100.000000,31,0.801229,3.919741,-1.539540,1.990124,6.983617
16200.000000,31,0.800483,3.908974,-1.561705,1.988765,7.014838
16300.000000,31,0.800438,3.904332,-0.931543,1.988282,5.756502
16400.000000,31,0.800826,3.906421,-0.518002,1.989634,4.937054
16500.000000,31,0.801043,3.914602,-0.327340,1.989455,4.565831
16600.000000,31,0.800700,3.910750,-0.447780,1.988735,4.801265
16700.000000,31,0.800331,3.902630,-0.739570,1.988862,5.373533
16800.000000,31,0.800305,3.896629,-0.677161,1.990000,5.244179
16900.000000,31,0.799644,3.887025,-0.685491,1.988698,5.250261
17000.000000,31,0.798773,3.872974,-0.892289,1.987294,5.646214
17100.000000,31,0.799200,3.882815,-0.814372,1.986023,5.500177
17200.000000,31,0.799306,3.889381,-0.707190,1.985581,5.293565
17300.000000,31,0.800041,3.940190,-0.346199,1.987399,4.628224
17400.000000,31,0.799888,3.930480,-0.414929,1.986609,4.754782
17500.000000,31,0.799909,3.926262,-1.243271,1.986457,6.395967
17600.000000,31,0.799823,3.924043,-1.270623,1.986307,6.447890
